S No,State Code,State Name,District LGD Code,District Name (In English),District Name (In Local language),Hierarchy,Short Name of District,Census 2001 Code,Census2011 Code,Pesa Status,View Details,View History,View Government Order,View Map
275,20,Jharkhand(State),332,Hazaribagh,हज़ारीबाग,Jharkhand(State),HZR,04,360,Not Covered,,,,
404,27,Maharashtra(State),477,Hingoli,हिंगोली,Maharashtra(State),HIN,16,512,Not Covered,,,,
356,23,Madhya Pradesh(State),408,Harda,हरदा,Madhya Pradesh(State),HDA,36,448,Not Covered,,,,
423,27,Maharashtra(State),496,Solapur,सोलापूर,Maharashtra(State),SOL,30,526,Not Covered,,,,
161,22,Chhattisgarh(State),648,Surajpur,सूरजपुर,Chhattisgarh(State),SRJ,,000,Partially Covered,,,,
129,10,Bihar(State),223,Supaul,सुपौल,Bihar(State),SPL,06,208,Not Covered,,,,
160,22,Chhattisgarh(State),642,Sukma,सुकमा,Chhattisgarh(State),SKM,,000,Partially Covered,,,,
380,23,Madhya Pradesh(State),427,Sehore,सीहोर,Madhya Pradesh(State),SEH,33,445,Not Covered,,,,
386,23,Madhya Pradesh(State),433,Sidhi,सीधी,Madhya Pradesh(State),SDH,17,462,Not Covered,,,,
127,10,Bihar(State),221,Sitamarhi,सीतामढी,Bihar(State),STM,04,206,Not Covered,,,,
128,10,Bihar(State),222,Siwan,सिवान,Bihar(State),SWN,16,218,Not Covered,,,,
381,23,Madhya Pradesh(State),428,Seoni,सिवनी,Madhya Pradesh(State),SEO,44,456,Not Covered,,,,
287,20,Jharkhand(State),342,Simdega,सिमडेगा,Jharkhand(State),SMG,21,367,Not Covered,,,,
422,27,Maharashtra(State),495,Sindhudurg,सिंधुदुर्ग,Maharashtra(State),SIN,33,529,Not Covered,,,,
387,23,Madhya Pradesh(State),638,Singrauli,सिंगरौली,Madhya Pradesh(State),SGL,,463,Not Covered,,,,
285,20,Jharkhand(State),340,Sahebganj,साहेबगंज,Jharkhand(State),SGJ,09,352,Not Covered,,,,
124,10,Bihar(State),218,Saran,सारण,Bihar(State),SAR,17,219,Not Covered,,,,
159,22,Chhattisgarh(State),763,Sarangarh-Bilaigarh,सारंगढ़-बिलाईगढ़,Chhattisgarh(State),SRB,,000,Not Covered,,,,
421,27,Maharashtra(State),494,Satara,सातारा,Maharashtra(State),SAT,31,527,Not Covered,,,,
378,23,Madhya Pradesh(State),425,Sagar,सागर,Madhya Pradesh(State),SGR,11,427,Not Covered,,,,
420,27,Maharashtra(State),493,Sangli,सांगली,Maharashtra(State),SNG,35,531,Not Covered,,,,
122,10,Bihar(State),216,Saharsa,सहरसा,Bihar(State),SHS,12,214,Not Covered,,,,
